timestamp,fish_id,x_coordinate,y_coordinate
1759676733.5409307,14,322,230
1759676733.5409307,13,346,174
1759676733.5409307,12,341,322
1759676733.5409307,11,321,207
1759676733.5409307,10,644,577
1759676733.5409307,9,393,201
1759676733.5409307,8,666,540
1759676733.5409307,7,323,272
1759676733.5409307,6,383,344
1759676733.5409307,5,383,478
1759676733.5409307,4,260,495
1759676733.5409307,3,345,404
1759676733.5409307,2,278,417
1759676733.5409307,1,488,370
1759676737.8729649,13,345,170
1759676737.8729649,12,342,322
1759676737.8729649,11,321,207
1759676737.8729649,10,644,577
1759676737.8729649,9,393,200
1759676737.8729649,8,666,540
1759676737.8729649,7,323,273
1759676737.8729649,6,383,341
1759676737.8729649,5,382,478
1759676737.8729649,4,260,496
1759676737.8729649,3,346,403
1759676737.8729649,2,277,417
1759676737.8729649,1,488,370
1759676737.9256804,13,345,173
1759676737.9256804,12,340,321
1759676737.9256804,11,321,207
1759676737.9256804,10,645,577
1759676737.9256804,9,392,201
1759676737.9256804,8,666,539
1759676737.9256804,7,323,274
1759676737.9256804,6,384,338
1759676737.9256804,5,380,479
1759676737.9256804,4,259,499
1759676737.9256804,3,348,402
1759676737.9256804,2,277,417
1759676737.9256804,1,490,371
1759676737.970971,13,346,173
1759676737.970971,12,336,318
1759676737.970971,11,322,206
1759676737.970971,10,645,577
1759676737.970971,9,391,200
1759676737.970971,8,666,538
1759676737.970971,7,325,274
1759676737.970971,6,384,336
1759676737.970971,5,378,480
1759676737.970971,4,256,501
1759676737.970971,3,349,400
1759676737.970971,2,276,418
1759676737.970971,1,491,372
1759676738.0047133,13,345,171
1759676738.0047133,11,322,206
1759676738.0047133,10,644,578
1759676738.0047133,9,390,200
1759676738.0047133,8,666,538
1759676738.0047133,7,327,275
1759676738.0047133,6,383,333
1759676738.0047133,5,377,480
1759676738.0047133,4,255,502
1759676738.0047133,3,349,399
1759676738.0047133,2,276,419
1759676738.0047133,1,492,373
1759676738.0389876,13,344,169
1759676738.0389876,11,322,205
1759676738.0389876,10,644,579
1759676738.0389876,9,390,200
1759676738.0389876,8,667,538
1759676738.0389876,7,329,276
1759676738.0389876,6,385,336
1759676738.0389876,5,377,480
1759676738.0389876,4,254,502
1759676738.0389876,3,349,398
1759676738.0389876,2,277,419
1759676738.0389876,1,493,373
1759676738.0727947,12,332,322
1759676738.0727947,11,321,205
1759676738.0727947,10,644,579
1759676738.0727947,9,391,200
1759676738.0727947,8,667,538
1759676738.0727947,7,330,276
1759676738.0727947,6,384,336
1759676738.0727947,5,377,480
1759676738.0727947,4,254,502
1759676738.0727947,3,349,396
1759676738.0727947,2,276,420
1759676738.0727947,1,493,374
1759676738.1122048,15,1049,667
1759676738.1122048,12,332,323
1759676738.1122048,11,322,203
1759676738.1122048,10,644,579
1759676738.1122048,9,391,200
1759676738.1122048,8,667,538
1759676738.1122048,7,329,278
1759676738.1122048,6,387,342
1759676738.1122048,5,376,481
1759676738.1122048,4,253,504
1759676738.1122048,3,349,395
1759676738.1122048,2,275,422
1759676738.1122048,1,496,374
1759676738.149776,15,1049,668
1759676738.149776,13,344,169
1759676738.149776,12,332,324
1759676738.149776,11,323,202
1759676738.149776,10,644,579
1759676738.149776,9,389,199
1759676738.149776,8,668,537
1759676738.149776,7,329,281
1759676738.149776,6,387,342
1759676738.149776,5,375,482
1759676738.149776,4,252,504
1759676738.149776,3,350,393
1759676738.149776,2,273,423
1759676738.149776,1,497,375
1759676738.1808083,15,1049,667
1759676738.1808083,13,344,170
1759676738.1808083,12,332,324
1759676738.1808083,11,323,202
1759676738.1808083,10,644,579
1759676738.1808083,9,388,199
1759676738.1808083,8,669,537
1759676738.1808083,7,328,282
1759676738.1808083,6,383,339
1759676738.1808083,5,374,482
1759676738.1808083,4,252,505
1759676738.1808083,3,350,391
1759676738.1808083,2,272,424
1759676738.1808083,1,498,376
1759676738.2138276,13,342,170
1759676738.2138276,12,331,324
1759676738.2138276,11,324,202
1759676738.2138276,10,644,580
1759676738.2138276,9,387,199
1759676738.2138276,8,669,537
1759676738.2138276,7,329,284
1759676738.2138276,6,383,338
1759676738.2138276,5,374,483
1759676738.2138276,4,251,505
1759676738.2138276,3,350,391
1759676738.2138276,2,272,426
1759676738.2138276,1,500,376
1759676738.2443976,13,339,169
1759676738.2443976,12,330,322
1759676738.2443976,11,324,202
1759676738.2443976,10,643,579
1759676738.2443976,9,386,199
1759676738.2443976,8,669,537
1759676738.2443976,7,329,284
1759676738.2443976,6,385,340
1759676738.2443976,5,373,483
1759676738.2443976,4,251,506
1759676738.2443976,3,350,389
1759676738.2443976,2,271,428
1759676738.2443976,1,502,377
1759676738.2785797,13,338,169
1759676738.2785797,12,328,321
1759676738.2785797,11,324,202
1759676738.2785797,10,643,578
1759676738.2785797,9,385,199
1759676738.2785797,8,670,536
1759676738.2785797,7,330,286
1759676738.2785797,6,386,342
1759676738.2785797,5,373,483
1759676738.2785797,4,251,507
1759676738.2785797,3,349,387
1759676738.2785797,2,271,429
1759676738.2785797,1,504,378
1759676738.3089252,13,338,169
1759676738.3089252,12,327,320
1759676738.3089252,11,325,201
1759676738.3089252,10,643,579
1759676738.3089252,9,385,199
1759676738.3089252,8,670,537
1759676738.3089252,7,329,287
1759676738.3089252,6,387,344
1759676738.3089252,5,372,484
1759676738.3089252,4,252,509
1759676738.3089252,3,347,385
1759676738.3089252,2,271,429
1759676738.3089252,1,506,379
1759676738.345854,16,324,225
1759676738.345854,13,337,168
1759676738.345854,12,327,320
1759676738.345854,11,325,200
1759676738.345854,10,643,578
1759676738.345854,9,386,199
1759676738.345854,8,671,537
1759676738.345854,7,329,287
1759676738.345854,6,389,345
1759676738.345854,5,372,483
1759676738.345854,4,252,510
1759676738.345854,3,346,383
1759676738.345854,2,270,430
1759676738.345854,1,507,380
1759676738.3796756,13,334,166
1759676738.3796756,12,326,319
1759676738.3796756,11,325,199
1759676738.3796756,10,644,578
1759676738.3796756,9,385,198
1759676738.3796756,8,672,537
1759676738.3796756,7,333,287
1759676738.3796756,6,391,348
1759676738.3796756,5,371,484
1759676738.3796756,4,252,511
1759676738.3796756,3,344,380
1759676738.3796756,2,270,430
1759676738.3796756,1,509,380
1759676738.4122002,13,333,165
1759676738.4122002,12,326,319
1759676738.4122002,11,325,199
1759676738.4122002,10,644,579
1759676738.4122002,9,386,198
1759676738.4122002,8,671,536
1759676738.4122002,7,335,288
1759676738.4122002,6,393,349
1759676738.4122002,5,369,484
1759676738.4122002,4,253,511
1759676738.4122002,3,343,378
1759676738.4122002,2,270,431
1759676738.4122002,1,510,380
1759676738.4430766,13,333,164
1759676738.4430766,11,326,199
1759676738.4430766,10,644,578
1759676738.4430766,9,387,198
1759676738.4430766,8,671,536
1759676738.4430766,7,336,288
1759676738.4430766,6,394,350
1759676738.4430766,5,369,484
1759676738.4430766,4,253,511
1759676738.4430766,3,342,376
1759676738.4430766,2,269,432
1759676738.4430766,1,512,381
1759676738.4813285,13,332,164
1759676738.4813285,11,326,199
1759676738.4813285,10,644,578
1759676738.4813285,9,386,198
1759676738.4813285,8,671,537
1759676738.4813285,7,336,288
1759676738.4813285,6,395,351
1759676738.4813285,5,369,484
1759676738.4813285,4,254,512
1759676738.4813285,3,342,375
1759676738.4813285,2,268,434
1759676738.4813285,1,512,382
1759676738.512999,13,333,164
1759676738.512999,11,326,199
1759676738.512999,10,644,578
1759676738.512999,9,385,197
1759676738.512999,8,672,537
1759676738.512999,7,334,289
1759676738.512999,6,396,352
1759676738.512999,5,368,485
1759676738.512999,4,255,513
1759676738.512999,3,342,373
1759676738.512999,2,268,436
1759676738.512999,1,514,383
1759676738.5498862,17,377,390
1759676738.5498862,13,333,163
1759676738.5498862,11,326,200
1759676738.5498862,10,644,578
1759676738.5498862,9,383,197
1759676738.5498862,8,672,537
1759676738.5498862,7,333,290
1759676738.5498862,6,398,355
1759676738.5498862,5,368,485
1759676738.5498862,4,255,513
1759676738.5498862,3,342,369
1759676738.5498862,2,267,438
1759676738.5498862,1,515,383
1759676738.58598,18,324,231
1759676738.58598,17,379,391
1759676738.58598,13,333,163
1759676738.58598,11,326,199
1759676738.58598,10,645,578
1759676738.58598,9,382,197
1759676738.58598,8,672,536
1759676738.58598,7,334,290
1759676738.58598,6,403,361
1759676738.58598,5,368,485
1759676738.58598,4,255,513
1759676738.58598,3,341,366
1759676738.58598,2,268,439
1759676738.58598,1,516,384
1759676738.6221519,18,324,233
1759676738.6221519,17,383,390
1759676738.6221519,13,332,162
1759676738.6221519,11,326,199
1759676738.6221519,10,646,577
1759676738.6221519,9,381,197
1759676738.6221519,8,673,537
1759676738.6221519,7,334,291
1759676738.6221519,6,405,364
1759676738.6221519,5,368,486
1759676738.6221519,4,257,513
1759676738.6221519,3,341,364
1759676738.6221519,2,268,440
1759676738.6221519,1,518,385
1759676738.6541314,18,324,234
1759676738.6541314,17,386,392
1759676738.6541314,11,326,198
1759676738.6541314,10,646,577
1759676738.6541314,9,383,197
1759676738.6541314,8,673,537
1759676738.6541314,7,334,292
1759676738.6541314,6,409,367
1759676738.6541314,5,368,486
1759676738.6541314,4,258,513
1759676738.6541314,3,342,363
1759676738.6541314,2,268,441
1759676738.6541314,1,520,385
1759676738.6850252,18,323,235
1759676738.6850252,17,387,395
1759676738.6850252,11,326,198
1759676738.6850252,10,646,577
1759676738.6850252,9,384,197
1759676738.6850252,8,674,537
1759676738.6850252,7,335,294
1759676738.6850252,6,412,370
1759676738.6850252,5,368,486
1759676738.6850252,4,258,514
1759676738.6850252,3,342,361
1759676738.6850252,2,268,442
1759676738.6850252,1,522,385
1759676738.719647,18,323,236
1759676738.719647,17,386,397
1759676738.719647,13,330,162
1759676738.719647,11,326,197
1759676738.719647,10,646,577
1759676738.719647,9,383,197
1759676738.719647,8,674,537
1759676738.719647,7,335,297
1759676738.719647,6,414,373
1759676738.719647,5,368,486
1759676738.719647,4,258,514
1759676738.719647,3,342,360
1759676738.719647,2,268,444
1759676738.719647,1,523,385
1759676738.7534747,18,323,232
1759676738.7534747,17,386,400
1759676738.7534747,11,325,197
1759676738.7534747,10,647,577
1759676738.7534747,9,383,198
1759676738.7534747,8,674,537
1759676738.7534747,7,332,299
1759676738.7534747,6,418,378
1759676738.7534747,5,367,487
1759676738.7534747,4,258,515
1759676738.7534747,3,342,358
1759676738.7534747,2,268,446
1759676738.7534747,1,524,386
1759676738.7888162,18,323,231
1759676738.7888162,17,389,402
1759676738.7888162,11,325,196
1759676738.7888162,10,646,576
1759676738.7888162,9,383,198
1759676738.7888162,8,674,537
1759676738.7888162,7,330,302
1759676738.7888162,6,422,382
1759676738.7888162,5,367,487
1759676738.7888162,4,259,515
1759676738.7888162,3,342,356
1759676738.7888162,2,268,447
1759676738.7888162,1,525,387
1759676738.8240235,18,324,230
1759676738.8240235,17,391,405
1759676738.8240235,11,324,196
1759676738.8240235,10,646,576
1759676738.8240235,9,383,198
1759676738.8240235,8,674,537
1759676738.8240235,7,329,304
1759676738.8240235,6,424,387
1759676738.8240235,5,366,487
1759676738.8240235,4,258,515
1759676738.8240235,3,342,354
1759676738.8240235,2,269,449
1759676738.8240235,1,527,388
1759676738.8553185,18,324,229
1759676738.8553185,17,393,409
1759676738.8553185,11,324,195
1759676738.8553185,10,646,576
1759676738.8553185,9,383,198
1759676738.8553185,8,675,537
1759676738.8553185,7,329,304
1759676738.8553185,6,426,390
1759676738.8553185,5,366,486
1759676738.8553185,4,258,516
1759676738.8553185,3,343,352
1759676738.8553185,2,269,451
1759676738.8553185,1,529,388
1759676738.8850589,18,324,229
1759676738.8850589,17,392,410
1759676738.8850589,11,324,193
1759676738.8850589,10,645,576
1759676738.8850589,9,384,198
1759676738.8850589,8,675,536
1759676738.8850589,7,328,304
1759676738.8850589,6,429,394
1759676738.8850589,5,366,487
1759676738.8850589,4,259,516
1759676738.8850589,3,342,351
1759676738.8850589,2,269,453
1759676738.8850589,1,532,389
1759676738.9212618,18,325,229
1759676738.9212618,17,395,412
1759676738.9212618,13,328,162
1759676738.9212618,11,325,190
1759676738.9212618,10,645,576
1759676738.9212618,9,384,197
1759676738.9212618,8,676,536
1759676738.9212618,7,327,304
