timestamp,fish_id,x_coordinate,y_coordinate
1755831518.2525954,5,374,483
1755831518.2525954,4,251,505
1755831518.2525954,3,350,391
1755831518.2525954,2,272,426
1755831518.2525954,1,500,376
1755831518.3116097,13,339,169
1755831518.3116097,12,330,322
1755831518.3116097,11,324,202
1755831518.3116097,10,643,579
1755831518.3116097,9,386,199
1755831518.3116097,8,669,537
1755831518.3116097,7,329,284
1755831518.3116097,6,385,340
1755831518.3116097,5,373,483
1755831518.3116097,4,251,506
1755831518.3116097,3,350,389
1755831518.3116097,2,271,428
1755831518.3116097,1,502,377
1755831518.3698013,13,338,169
1755831518.3698013,12,328,321
1755831518.3698013,11,324,202
1755831518.3698013,10,643,578
1755831518.3698013,9,385,199
1755831518.3698013,8,670,536
1755831518.3698013,7,330,286
1755831518.3698013,6,386,342
1755831518.3698013,5,373,483
1755831518.3698013,4,251,507
1755831518.3698013,3,349,387
1755831518.3698013,2,271,429
1755831518.3698013,1,504,378
1755831518.4308918,13,338,169
1755831518.4308918,12,327,320
1755831518.4308918,11,325,201
1755831518.4308918,10,643,579
1755831518.4308918,9,385,199
1755831518.4308918,8,670,537
1755831518.4308918,7,329,287
1755831518.4308918,6,387,344
1755831518.4308918,5,372,484
1755831518.4308918,4,252,509
1755831518.4308918,3,347,385
1755831518.4308918,2,271,429
1755831518.4308918,1,506,379
1755831518.4913523,16,324,225
1755831518.4913523,13,337,168
1755831518.4913523,12,327,320
1755831518.4913523,11,325,200
1755831518.4913523,10,643,578
1755831518.4913523,9,386,199
1755831518.4913523,8,671,537
1755831518.4913523,7,329,287
1755831518.4913523,6,389,345
1755831518.4913523,5,372,483
1755831518.4913523,4,252,510
1755831518.4913523,3,346,383
1755831518.4913523,2,270,430
1755831518.4913523,1,507,380
1755831518.5491416,13,334,166
1755831518.5491416,12,326,319
1755831518.5491416,11,325,199
1755831518.5491416,10,644,578
1755831518.5491416,9,385,198
1755831518.5491416,8,672,537
1755831518.5491416,7,333,287
1755831518.5491416,6,391,348
1755831518.5491416,5,371,484
1755831518.5491416,4,252,511
1755831518.5491416,3,344,380
1755831518.5491416,2,270,430
